summary,m_price,minimum_ni,m_monrevie,m_hostlist,m_avaliabl,density,london_imd_rank,london_imd_decile,imd,income,employment,edu_ski_tra,health_depri,crime,hous_serv,living_env
12,78.41666667,2.166666667,0.735555556,1.75,0.552511416,2.40E-05,2016,5,23.325,0.147,0.081,18.495,-1.017,0.834,35.276,32.261
20,186.8,20.45,0.828571429,3.1,0.255342466,6.45E-05,2590,6,19.223,0.108,0.064,14.199,-0.751,0.28,41.658,28.117
3,73,4.333333333,0.313333333,1,0.326940639,2.04E-05,1808,4,24.927,0.151,0.096,9.643,-0.25,-0.218,54.472,21.426
10,51.4,5.4,1.36,3.1,0.393150685,4.60E-05,2472,6,19.932,0.115,0.076,11.933,-0.586,0.188,40.221,30.047
8,116.875,3,0.32,125.875,0.168493151,1.97E-05,2479,6,19.874,0.138,0.079,3.672,-1.038,0.761,33.719,30.861
10,89.8,1.8,1.40375,7.6,0.433972603,4.67E-05,2645,6,18.834,0.118,0.078,4.866,-0.482,0.644,27.802,35.376
3,88.33333333,2.666666667,0.26,5,0.40913242,1.17E-05,2806,6,17.867,0.112,0.087,13.023,-0.107,-0.24,24.574,31.997
2,30,2,0.23,1,0.212328767,7.27E-06,2536,6,19.57,0.165,0.093,15.541,-0.715,0.035,26.767,23.293
1,21,1,3.25,1,0.468493151,5.83E-06,2635,6,18.89,0.123,0.07,17.74,-0.261,0.267,26.9,31.707
2,55,2,1.29,1.5,0.232876712,7.72E-06,3024,7,16.3,0.109,0.099,23.223,-0.302,-0.154,16.828,12.707
4,37.5,3.75,0.09,1,0.267123288,9.01E-06,2672,6,18.65,0.109,0.08,7.884,0.031,0.373,26.11,32.745
5,80.2,2,1.5475,1.6,0.534794521,1.18E-05,2743,6,18.295,0.112,0.085,26.088,-0.393,0.066,20.731,27.738
3,140,2.333333333,0.175,10,0.830136986,9.09E-06,2687,6,18.601,0.122,0.075,23.517,-0.573,0.254,24.86,28.683
4,47,1.5,0.253333333,1.25,0.139726027,1.81E-05,2071,5,22.909,0.154,0.092,23.61,-0.062,-0.219,31.201,31.407
4,35,4,0.235,1,0.478082192,9.44E-06,2024,5,23.276,0.15,0.084,20.805,-0.179,0.633,33.11,25.805
3,34.33333333,7.666666667,4.92,1,0.336986301,2.77E-06,1948,5,23.784,0.18,0.102,22.216,-0.075,0.351,22.572,29.548
7,54.28571429,1.428571429,0.131428571,7.857142857,0.857925636,3.97E-05,1771,4,25.261,0.168,0.11,16.656,-0.361,1.066,32.585,15.171
2,40,1,1.56,1.5,0.545205479,2.26E-06,1932,4,23.903,0.153,0.094,20.885,0.369,0.2,34.46,17.261
4,92.25,2,1.21,5.25,0.849315068,2.65E-06,2991,7,16.489,0.128,0.081,14.003,-0.594,-0.42,34.21,8.52
4,109.25,2.5,1.016666667,6,0.826027397,1.61E-05,1947,5,23.787,0.157,0.116,28.584,-0.385,0.502,20.007,28.788
4,21.25,4.25,0.3725,1.5,0.282191781,2.29E-05,2695,6,18.552,0.157,0.084,14.14,-0.484,-0.181,31.952,14.221
15,57.73333333,1.666666667,0.861666667,4.133333333,0.540273973,5.16E-05,2356,5,20.855,0.158,0.074,5.808,-0.559,-0.179,50.582,9.245
